CompanyID,Name,UseCase,Country
0,Hera Systems,Commercial,USA
1,Aalto University,Civil,Finland
2,University of Aalborg,Civil,Denmark
3,Asia Broadcast Satellite Ltd.,Commercial,Multinational
4,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Government,Israel
5,National Reconnaissance Office (NRO),Military,USA
6,US Air Force,Military,USA
7,US Air Force ,Military,USA
8,Department of Homeland Security,Government,USA
9,European Space Agency (ESA),Government,ESA
10,Aerospace Corporation,Commercial,USA
11,EUTELSAT S.A.,Commercial,Multinational
12,Aurora Insight,Commercial,USA
13,"Center for Atmospheric Sciences, Hampton University/NASA",Government,USA
14,Norwegian Coastal Admnistration,Government,Norway
15,AISTech,Commercial,Spain
16,Al Yah Satellite Communications Co. (YAHSAT),Commercial,United Arab Emirates
17,Algerian Space Agency (ASAL),Government,Algeria
18,Astro Live Experiences,Commercial,Japan
19,University of Brasilia,Civil,Brazil
20,Al-Farabi Kazakh National University,Civil,Kazakhstan
21,US Air Force Institute of Technology,Military,USA
22,Algerian Space Agency (ASAL)/UK Space Agency,Government,Algeria
23,Hispamar (subsidiary of Hispasat - Spain),Commercial,Spain
24,National Institute for Space Research (INPE),Government,Brazil
25,SES S.A.,Commercial,USA
26,SES S.A./Gogo,Commercial,USA
27,Moscow State University,Civil,Russia
28,Space-Communication Ltd.,Military/Commercial,Israel
29,AMSAT-NA,Civil,USA
30,Agency for Defense Development,Military,South Korea
31,ANDESITE - Boston University,Civil,USA
32,Centre National d'Etudes Spatiales (CNES),Government,ESA
33,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Canada
34,"Aprize Satellite, Argentina",Commercial,Argentina
35,exactEarth,Commercial,Canada
36,APT Satellite Holdings Ltd.,Commercial,China
37,Arab Satellite Communications Org. (ASCO),Government,Multinational
38,"University of South Florida, Institute of Applied Engineering (IAE).",Civil,USA
39,Norwegian Defence Research Establishment,Military,Norway
40,Aoyama Gakuin University in Tokyo,Civil,Japan
41,Naval Physical and Oceanographic Laboratory,Government,Russia
42,Planetary Resources,Commercial,USA
43,Satellite Design Laboratory UT Austin/Baylor University,Civil,USA
44,ArSat,Commercial,Argentina
45,Aerospacelab,Commercial,Belgium
46,Istanbul Technical  University,Civil,Turkey
47,Asia Satellite Telecommunications Co. Ltd.,Commercial,China
48,1Worldspace,Commercial,USA
49,Japan Space Systems,Government,Japan
50,Chiba Institute of Technology,Civil,Japan
51,Astranis,Commercial,USA
52,Astrocast,Commercial,Switzerland
53,Telemetry Tracking and Command Network (ISTRAC) Centre,Government,India
54,"DirecTV, Inc.",Commercial,USA
55,PointView Tech,Commercial,USA
56,Centre National d'Etudes Spatiales (CNES)/Agenzia Spaziale Italiana (ASI),Government/Military,France/Italy
57,Microspace Rapid Pvt Ltd.,Commercial,Singapore
58,Azercosmos,Government,Azerbaijan
59,Bangladesh Telecommunication Regulatory Commission (BTRC),Government,Bangladesh
60,Tianyi Research Institute,Civil,China
61,Ministry of Defense,Military,Russia
62,"GasTianta and GZH-HNJ BDS AGR Co., Ltd.",Commercial,China
63,Central European Institute of Technology,Government,Czech Republic
64,Technical University Berlin,Civil,Germany
65,Chinese Ministry of National Defense,Military/Government,China
66,21st Century Aerospace Technology (21AT),Commercial,China 
67,Beijing Landview Mapping Information Technology Co. Ltd (BLMIT),Commercial,China
68,Belintersat,Government,Belarus
69,Institute of Space Sensor Technology and Planetary Exploration,Government/Civil,Germany
70,German Aerospace Center (DLR),Government,Germany
71,Salish Kootenai College,Civil,USA
72,National Academy of Sciences,Government,Belarus
73,BlackSky Global,Commercial,USA
74,NanoAvionics,Commercial,Lithuania
75,Embratel Star One,Commercial,Brazil
76,"SpaceQuest, Ltd.",Commercial,USA
77,Bank Rakyat Indonesia (BRI),Commercial,Indonesia
78,"University of Toronto, Institute for Aerospace Studies",Civil,Canada
79,BRITE Consortium,Government,Multinational
80,UnseenLabs,Commercial,France
81,Broadcasting Satellite System Corp.,Commercial,Japan
82,Broadcasting Satellite System Corp./Sky Perfect JSAT Corporation,Commercial,Japan
83,Defence Science and Technology Group/University of New South Wales,Military/Civil,Australia
84,China Academy of Space Technology (CAST),Government,China
85,Satellogic S.A.,Commercial,Argentina
86,Bulsatcom,Commercial,Bulgaria
87,Capital Technology University,Government/Civil,USA
88,Centre National d'Etudes Spatiales (CNES)/NASA,Government,France/USA
89,University of Louisiana at Lafayette,Civil,USA
90,Capella Space,Commercial,USA
