ContractorID,Name,Country,Purpose
0,Hera Systems,USA,Earth Observation
1,Aalto University,Finland,Technology Development
2,University of Aalborg,Denmark,Earth Observation
3,Space Systems/Loral,USA,Communications
4,Boeing Satellite Systems,USA,Communications
5,Lockheed Martin,USA,Communications
6,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Israel,Technology Development
7,National Reconnaissance Laboratory (?),USA,Earth Observation
8,TRW Space and Electronics,USA,Earth Observation
9,Lockheed Martin Space Systems,USA,Communications
10,University of Southern California,USA,Technology Development
11,Airbus Defense and Space,France/UK/Germany/Spain,Earth Observation
12,Aerospace Corporation,USA,Technology Development
13,EADS Astrium,France,Communications
14,NanoAvionics,USA,Communications
15,Orbital Sciences Corp.,USA,Earth Observation
16,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Canada,Communications
17,GomSpace ApS,Denmark,Earth Observation
18,Orbital ATK,USA,Communications
19,China Academy of Space Technology (CAST),China,Communications
20,Astro Live Experiences,Japan,Earth Science
21,University of Brasilia,Brazil,Technology Development
22,Al-Farabi Kazakh National University,Kazakhstan,Technology Development
23,US Air Force Institute of Technology,USA,Technology Development
24,Surrey Satellite Technology Ltd.,UK,Earth Observation
25,National Institute for Space Research (INPE),Brazil,Earth Observation
26,Lockheed Martin Commercial Space Systems,USA,Communications
27,Lockheed Martin Missiles & Space,USA,Communications
28,Moscow State University,Russia,Space Science
29,Israel Aircraft Industries (IAI),Israel,Communications
30,Amsat-NA,USA,Communications
31,Boston University,USA,Space Science/Technology Demonstration
32,CNES ,ESA,Communications
33,Aprize Satellite ,Argentina,Communications/Technology Development
34,SpaceQuest,USA,Communications/Maritime Tracking
35,Thales Alenia Space,France/Italy,Communications
36,Astrium/Thales Alenia Space,France,Communications
37,"South Florida University, Institute of Applied Engineering (IAE)",USA,Technology Development
38,Norwegian Defence Research Establishment,Norway,Technology Demonstration
39,Aoyama Gakuin University in Tokyo,Japan,Technology Development
40,NPO Lavochkin,Russia,Earth Observation
41,Planetary Resources,USA,Technology Development
42,UT Austin/Baylor University,USA,Technology Development
43,INVAP S.E.,Argentina,Communications
44,Astrospacelab,Belgium,Earth Observation
45,Istanbul Technical University,Turkey,Earth Observation
46,Alcatel Space Industries,France,Communications
47,NEC Corporation,Japan,Earth Observation
48,Chiba Institute of Technology,Japan,Technology Development
49,Hughes Space and Communications Co.,USA,Communications
50,Astranis,USA,Technology Development
51,Astrocast,Switzerland,Communications
52,Indian Space Research Organization (ISRO),India,Space Science
53,Maxar Technologies,USA,Communications
54,Microspace Rapid Pvt Ltd.,Singapore,Technology Development
55,Unknown,China,Unknown
56,Progress Rocket and Space Center,Russia,Earth Observation
57,MinoSpace Technology,China,Earth Observation
58,Central European Institute of Technology,Czech Republic,Technology Demonstration
59,Technical University Berlin,Germany,Technology Demonstration
60,Space Technology Research Institute (part of CASC),China,Navigation/Global Positioning
61,Chinese Academy of Space Technology (CASC),China,Earth Observation
62,Tsinghua University/University of Surrey,China/UK,Earth Observation
63,China Academy of Space Technology/Thales Alenia Space,China/France,Communications
64,Deutsches Zentrum für Luft- und Raumfahrt,Germany,Earth Observation/Technology Development
65,German Aerospace Center (DLR),Germany,Earth Observation
66,Salish Kootenai College,USA,Earth Observation/Technology Development
67,NPO VNIIEM,Russia,Earth Observation
68,Spaceflight Industries,USA,Earth Observation
69,LeoStella,USA/Thales Alenia Space,Earth Observation
70,ISS Reshetnev,Russia,Communications
71,Solutions in Space,Netherlands,Signals Intelligence
72,"University of Toronto, Institute for Aerospace Studies",Canada,Space Science
73,"Space Research Center, Polish Academy of Sciences",Poland,Space Science
74,UnseenLabs,France,Earth Observation
75,Defence Science and Technology Group/University of New South Wales,Australia,Technology Development
76,Satellogic,Argentina,Technology Development
77,Alcatel Alenia Space,France,Earth Science
78,University of Toronto Institute for Aerospace Studies,Canada,Technology Development
79,University of Louisiana at Lafayette,USA,Technology Development
80,Capella Space,USA,Earth Observation
81,Korea Aerospace Research Institute (KARI),South Korea,Earth Observation
82,Canadian Space Agency,Canada,Earth Science
83,M42 Technologies,USA,Technology Development
84,Pumpkin Space Systems,USA,Communications
85,Innovation Academy for Microsatellites,China,Technology Development
86,NASA Goddard Space Flight Center,USA,Space Science
87,Canon Electronics Space Technology Laboratory,Japan,Technology Development
88,Cesium Astro,USA,Technology Development
89,China Academy of Space Technology (CAST)/National Centre for Space Studies (CNES),China/France,Earth Observation
90,TELNET Holding,Tunisia,Technology Development
91,Tianyi Research Institute,China,Technology Development
92,Shanghai Engineering Center for Microsatellites,China,Earth Observation 
93,Spacety Co. Ltd.,China,Earth Observation
94,Shanghai Institute of Satellite Engineering at the Shanghai Academy of Spaceflight Technology,China,Space Science
95,Naval Research Laboratory,USA,Technology Development
96,European Space Agency,ESA/EADS CASA Espacio,Space Science
97,University of Florida,USA,Technology Development
98,Chinese Academy of Sciences,China,Communications
99,Tyvak Nanosatellite Systems,USA,Earth Observation
