StatelliteID,Name,Country,Orbit,PeriodOfTime,Mass,Power,DateOfLaunch,LifeExpectancy,LaunchSite,CompanyID,ContractorID
0,Aalto-1,Finland,LEO,94.7,4.5,4.5,2017-06-23,2.0,Satish Dhawan Space Centre,1,1
1,ABS-2,Multinational,GEO,1436.03,6330.0,16000,2014-02-06,15.0,Guiana Space Center,3,3
2,ABS-4,Multinational,GEO,1436.1,4143.0,7400,2004-03-13,12.0,Cape Canaveral,3,3
3,ABS-6,Multinational,GEO,1436.08,2894.0,"6,800 (EOL)",1999-09-26,15.0,Baikonur Cosmodrome,3,5
4,Eutelsat 48D,Multinational,GEO,1436.08,3460.0,7000,2008-12-20,15.0,Guiana Space Center,11,13
5,AIM,USA,LEO,96.2,215.0,216,2007-04-25,2.0,Vandenberg AFB,13,15
6,Amazonas-2,Spain,GEO,1436.08,5465.0,15300,2009-10-01,15.0,Guiana Space Center,23,13
7,Amazonas-3,Spain,GEO,1436.05,6265.0,14000,2013-02-07,15.0,Guiana Space Center,23,3
8,AMC-1,USA,GEO,1436.1,2783.0,"6,500 (EOL)",1996-09-08,15.0,Cape Canaveral,25,26
9,AMC-11,USA,GEO,1436.07,2340.0,"6,500 (EOL)",2004-05-19,15.0,Cape Canaveral,25,5
10,AMC-21,USA,GEO,1436.1,2500.0,5000,2008-08-14,15.0,Guiana Space Center,25,15
11,AMC-8,USA,GEO,1436.07,2015.0,3300,2000-12-19,15.0,Guiana Space Center,25,26
12,Anik F1,Canada,GEO,1436.08,4710.0,"15,500 (EOL)",2000-11-21,15.0,Guiana Space Center,33,4
13,Anik F1R,Canada,GEO,1436.1,4500.0,10000,2005-09-09,15.0,Baikonur Cosmodrome,33,13
14,Anik F2,Canada,GEO,1436.08,5910.0,16000,2004-07-18,15.0,Guiana Space Center,33,4
15,Anik F3,Canada,GEO,1436.1,4715.0,17500,2007-04-09,15.0,Baikonur Cosmodrome,33,13
16,Anik G1,Canada,GEO,1436.08,4905.0,17500,2013-04-15,15.0,Baikonur Cosmodrome,33,3
17,Apstar 9,China,GEO,1436.01,5200.0,10500,2015-10-16,15.0,Xichang Satellite Launch Center,36,19
18,Arabsat 6A,Multinational,GEO,1436.0,6465.0,20000,2019-04-11,15.0,Cape Canaveral,37,5
19,Arktika-M1,Russia,Elliptical,717.8,2200.0,2000,2021-02-28,7.0,Baikonur Cosmodrome,41,40
20,ArSat 2,Argentina,GEO,1436.06,2977.0,4600,2015-09-30,15.0,Guiana Space Center,44,43
21,AsiaSat-8,China,GEO,1436.1,4500.0,8500,2014-08-05,15.0,Cape Canaveral,47,3
22,AsiaStar,USA,GEO,1436.15,2775.0,5600,2000-03-21,15.0,Guiana Space Center,48,46
23,Astra 1G,Luxembourg,GEO,1436.08,3379.0,6600,1997-12-02,15.0,Baikonur Cosmodrome,25,49
24,Astra 1KR,Luxembourg,GEO,1436.1,4332.0,12000,2006-04-20,15.0,Cape Canaveral,25,26
25,Astra 1L,Luxembourg,GEO,1436.03,4500.0,13000,2007-05-04,15.0,Guiana Space Center,25,26
26,Astra 1M,Luxembourg,GEO,1438.2,5345.0,9900,2008-11-05,15.0,Baikonur Cosmodrome,25,13
27,Astra 2A,Luxembourg,GEO,1436.12,3635.0,7000,1998-08-30,15.0,Baikonur Cosmodrome,25,49
28,Astra 2C,Luxembourg,GEO,1436.12,3643.0,7000,2001-06-16,15.0,Baikonur Cosmodrome,25,4
29,Astra 2D,Luxembourg,GEO,1436.1,1420.0,1500,2000-12-19,15.0,Guiana Space Center,25,49
